Area,Month,Temperature
Chamba,01/01/01,7.009
Chamba,02/01/01,8.67
Chamba,03/01/01,15.879
Chamba,04/01/01,20.258
Chamba,05/01/01,24.79
Chamba,06/01/01,28.65
Chamba,07/01/01,27.678
Chamba,08/01/01,26.998
Chamba,09/01/01,23.993
Chamba,10/01/01,21.807
Chamba,11/01/01,15.355
Chamba,12/01/01,10.228
Chamba,01/01/02,10.246
Chamba,02/01/02,12.374
Chamba,03/01/02,16.336
Chamba,04/01/02,20.868
Chamba,05/01/02,25.724
Chamba,06/01/02,27.848
Chamba,07/01/02,26.688
Chamba,08/01/02,26.122
Chamba,09/01/02,24.431
Chamba,10/01/02,19.962
Chamba,11/01/02,14.446
Chamba,12/01/02,10.039
Chamba,01/01/03,8.161
Chamba,02/01/03,10.066
Chamba,03/01/03,13.149
Chamba,04/01/03,19.67
Chamba,05/01/03,24.272
Chamba,06/01/03,28.97
Chamba,07/01/03,27.946
Chamba,08/01/03,26.281
Chamba,09/01/03,25.221
Chamba,10/01/03,21.123
Chamba,11/01/03,14.509
Chamba,12/01/03,10.398
Chamba,01/01/04,6.914
Chamba,02/01/04,11.314
Chamba,03/01/04,14.919
Chamba,04/01/04,22.057
Chamba,05/01/04,25.025
Chamba,06/01/04,28.511
Chamba,07/01/04,26.792
Chamba,08/01/04,26.099
Chamba,09/01/04,23.948
Chamba,10/01/04,20.186
Chamba,11/01/04,13.922
Chamba,12/01/04,10.029
Chamba,01/01/05,6.476
Chamba,02/01/05,6.019
Chamba,03/01/05,11.392
Chamba,04/01/05,18.867
Chamba,05/01/05,25.971
Chamba,06/01/05,28.799
Chamba,07/01/05,27.182
Chamba,08/01/05,26.937
Chamba,09/01/05,24.704
Chamba,10/01/05,21.041
Chamba,11/01/05,15.049
Chamba,12/01/05,9.38
Chamba,01/01/06,6.403
Chamba,02/01/06,7.856
Chamba,03/01/06,13.254
Chamba,04/01/06,20.789
Chamba,05/01/06,26.53
Chamba,06/01/06,28.106
Chamba,07/01/06,27.577
Chamba,08/01/06,26.44
Chamba,09/01/06,24.649
Chamba,10/01/06,21.071
Chamba,11/01/06,15.922
Chamba,12/01/06,11.49
Chamba,01/01/07,10.731
Chamba,02/01/07,8.428
Chamba,03/01/07,11.829
Chamba,04/01/07,19.67
Chamba,05/01/07,23.972
Chamba,06/01/07,27.734
Chamba,07/01/07,27.203
Chamba,08/01/07,26.344
Chamba,09/01/07,24.937
Chamba,10/01/07,21.34
Chamba,11/01/07,15.772
Chamba,12/01/07,10.027
Chamba,01/01/08,9.709
Chamba,02/01/08,10.549
Chamba,03/01/08,15.222
Chamba,04/01/08,21.5
Chamba,05/01/08,25.145
Chamba,06/01/08,29.259
Chamba,07/01/08,27.734
Chamba,08/01/08,26.107
Chamba,09/01/08,24.458
Chamba,10/01/08,20.353
Chamba,11/01/08,14.004
Chamba,12/01/08,9.073
Chamba,01/01/09,6.151
Chamba,02/01/09,8.294
Chamba,03/01/09,15.784
Chamba,04/01/09,20.436
Chamba,05/01/09,25.369
Chamba,06/01/09,27.048
Chamba,07/01/09,26.535
Chamba,08/01/09,26.253
Chamba,09/01/09,24.229
Chamba,10/01/09,20.612
Chamba,11/01/09,15.53
Chamba,12/01/09,9.197
Chamba,01/01/10,8.434
Chamba,02/01/10,9.918
Chamba,03/01/10,14.798
Chamba,04/01/10,20.137
Chamba,05/01/10,25.739
Chamba,06/01/10,28.058
Chamba,07/01/10,26.57
Chamba,08/01/10,26.566
Chamba,09/01/10,25.165
Chamba,10/01/10,20.428
Chamba,11/01/10,13.566
Chamba,12/01/10,8.852
Chamba,01/01/11,7.925
Chamba,02/01/11,10.246
Chamba,03/01/11,12.42
Chamba,04/01/11,20.885
Chamba,05/01/11,26.626
Chamba,06/01/11,28.497
Chamba,07/01/11,28
Chamba,08/01/11,27.286
Chamba,09/01/11,24.817
Chamba,10/01/11,20.749
Chamba,11/01/11,12.96
Chamba,12/01/11,9.53
Chamba,01/01/12,8.889
Chamba,02/01/12,12.067
Chamba,03/01/12,14.488
Chamba,04/01/12,20.349
Chamba,05/01/12,24.87
Chamba,06/01/12,28.937
Chamba,07/01/12,27.861
Chamba,08/01/12,26.375
Chamba,09/01/12,23.906
Chamba,10/01/12,20.873
Chamba,11/01/12,13.406
Chamba,12/01/12,9.671
Chamba,01/01/13,9.233
Chamba,02/01/13,9.682
Chamba,03/01/13,12.672
Chamba,04/01/13,21.142
Chamba,05/01/13,24.263
Chamba,06/01/13,26.546
Chamba,07/01/13,26.58
Chamba,08/01/13,26.379
Chamba,09/01/13,24.365
Chamba,10/01/13,20.427
Chamba,11/01/13,13.25
Chamba,12/01/13,8.537
Chamba,01/01/14,10.319
Chamba,02/01/14,9.429
Chamba,03/01/14,13.905
Chamba,04/01/14,20.002
Chamba,05/01/14,24.947
Chamba,06/01/14,28.488
Chamba,07/01/14,27.441
Chamba,08/01/14,26.123
Chamba,09/01/14,25.063
Chamba,10/01/14,18.565
Chamba,11/01/14,14.148
Chamba,12/01/14,8.94
Chamba,01/01/15,7.379
Chamba,02/01/15,8.383
Chamba,03/01/15,15.678
Chamba,04/01/15,20.761
Chamba,05/01/15,27.642
Chamba,06/01/15,28.564
Chamba,07/01/15,27.936
Chamba,08/01/15,26.869
Chamba,09/01/15,25.898
Chamba,10/01/15,22.505
Chamba,11/01/15,15.102
Chamba,12/01/15,10.145
Chamba,01/01/16,9.011
Chamba,02/01/16,9.702
Chamba,03/01/16,17.474
Chamba,04/01/16,21.674
Chamba,05/01/16,24.806
Chamba,06/01/16,27.091
Chamba,07/01/16,26.741
Chamba,08/01/16,26.598
Chamba,09/01/16,24.902
Chamba,10/01/16,21.018
Chamba,11/01/16,13.831
Chamba,12/01/16,9.169
Chamba,01/01/17,8.37
Chamba,02/01/17,11.019
Chamba,03/01/17,13.97
Chamba,04/01/17,17.678
Chamba,05/01/17,22.422
Chamba,06/01/17,27.005
Chamba,07/01/17,26.919
Chamba,08/01/17,26.423
Chamba,09/01/17,24.697
Chamba,10/01/17,19.908
Chamba,11/01/17,14.221
Chamba,12/01/17,9.064
Chamba,01/01/18,6.883
Chamba,02/01/18,10.728
Chamba,03/01/18,14.291
Chamba,04/01/18,18.708
Chamba,05/01/18,27.478
Chamba,06/01/18,27.736
Chamba,07/01/18,27.151
Chamba,08/01/18,26.806
Chamba,09/01/18,24.171
Chamba,10/01/18,20.229
Chamba,11/01/18,13.709
Chamba,12/01/18,7.892
Chamba,01/01/19,7.372
Chamba,02/01/19,9.43
Chamba,03/01/19,14.341
Chamba,04/01/19,19.673
Chamba,05/01/19,24.21
Chamba,06/01/19,29.447
Chamba,07/01/19,27.37
Chamba,08/01/19,26.549
Chamba,09/01/19,24.048
Chamba,10/01/19,20.432
Chamba,11/01/19,13.977
Chamba,12/01/19,8.672
Chamba,01/01/20,9.133
Chamba,02/01/20,7.997
Chamba,03/01/20,13.484
Chamba,04/01/20,19.685
Chamba,05/01/20,21.846
Chamba,06/01/20,27.098
Chamba,07/01/20,27.591
