Area,Month,CC
Chamba,01/01/01,41.521
Chamba,02/01/01,41.333
Chamba,03/01/01,44.436
Chamba,04/01/01,38.104
Chamba,05/01/01,34.489
Chamba,06/01/01,36.725
Chamba,07/01/01,52.951
Chamba,08/01/01,52.239
Chamba,09/01/01,31.748
Chamba,10/01/01,19.053
Chamba,11/01/01,19.818
Chamba,12/01/01,35.785
Chamba,01/01/02,42.53
Chamba,02/01/02,42.449
Chamba,03/01/02,44.903
Chamba,04/01/02,38.4
Chamba,05/01/02,33.975
Chamba,06/01/02,34.966
Chamba,07/01/02,52.514
Chamba,08/01/02,51.954
Chamba,09/01/02,31.623
Chamba,10/01/02,17.888
Chamba,11/01/02,19.818
Chamba,12/01/02,35.797
Chamba,01/01/03,41.797
Chamba,02/01/03,42.449
Chamba,03/01/03,46.095
Chamba,04/01/03,38.482
Chamba,05/01/03,35.24
Chamba,06/01/03,36.072
Chamba,07/01/03,53.499
Chamba,08/01/03,52.749
Chamba,09/01/03,32.607
Chamba,10/01/03,16.913
Chamba,11/01/03,19.282
Chamba,12/01/03,35.791
Chamba,01/01/04,41.395
Chamba,02/01/04,41.71
Chamba,03/01/04,45.57
Chamba,04/01/04,38.842
Chamba,05/01/04,34.641
Chamba,06/01/04,36.351
Chamba,07/01/04,52.796
Chamba,08/01/04,52.213
Chamba,09/01/04,31.755
Chamba,10/01/04,17.413
Chamba,11/01/04,19.466
Chamba,12/01/04,36.059
Chamba,01/01/05,42.57
Chamba,02/01/05,41.809
Chamba,03/01/05,45.337
Chamba,04/01/05,38.067
Chamba,05/01/05,35.114
Chamba,06/01/05,36.725
Chamba,07/01/05,54.331
Chamba,08/01/05,53.314
Chamba,09/01/05,31.701
Chamba,10/01/05,17.024
Chamba,11/01/05,19.577
Chamba,12/01/05,36.011
Chamba,01/01/06,42.096
Chamba,02/01/06,42.449
Chamba,03/01/06,44.435
Chamba,04/01/06,38.425
Chamba,05/01/06,34.728
Chamba,06/01/06,36.324
Chamba,07/01/06,54.08
Chamba,08/01/06,52.134
Chamba,09/01/06,32.607
Chamba,10/01/06,16.507
Chamba,11/01/06,19.54
Chamba,12/01/06,36.475
Chamba,01/01/07,42.273
Chamba,02/01/07,42.115
Chamba,03/01/07,44.544
Chamba,04/01/07,38.425
Chamba,05/01/07,34.489
Chamba,06/01/07,37.026
Chamba,07/01/07,53.783
Chamba,08/01/07,52.323
Chamba,09/01/07,32.607
Chamba,10/01/07,22.005
Chamba,11/01/07,22.491
Chamba,12/01/07,36.822
Chamba,01/01/08,42.521
Chamba,02/01/08,42.449
Chamba,03/01/08,45.475
Chamba,04/01/08,39.126
Chamba,05/01/08,34.935
Chamba,06/01/08,35.616
Chamba,07/01/08,52.814
Chamba,08/01/08,52.109
Chamba,09/01/08,31.6
Chamba,10/01/08,17.888
Chamba,11/01/08,19.099
Chamba,12/01/08,35.85
Chamba,01/01/09,41.489
Chamba,02/01/09,41.934
Chamba,03/01/09,45.337
Chamba,04/01/09,37.334
Chamba,05/01/09,33.441
Chamba,06/01/09,35.64
Chamba,07/01/09,53.396
Chamba,08/01/09,52.007
Chamba,09/01/09,31.331
Chamba,10/01/09,16.832
Chamba,11/01/09,18.97
Chamba,12/01/09,35.152
Chamba,01/01/10,42.521
Chamba,02/01/10,42.449
Chamba,03/01/10,45.129
Chamba,04/01/10,37.307
Chamba,05/01/10,33.683
Chamba,06/01/10,36.049
Chamba,07/01/10,52.852
Chamba,08/01/10,52.298
Chamba,09/01/10,32.607
Chamba,10/01/10,17.888
Chamba,11/01/10,19.818
Chamba,12/01/10,35.791
Chamba,01/01/11,42.521
Chamba,02/01/11,42.008
Chamba,03/01/11,45.502
Chamba,04/01/11,38.043
Chamba,05/01/11,34.29
Chamba,06/01/11,35.648
Chamba,07/01/11,53.04
Chamba,08/01/11,51.889
Chamba,09/01/11,32.131
Chamba,10/01/11,17.324
Chamba,11/01/11,18.902
Chamba,12/01/11,35.785
Chamba,01/01/12,42.522
Chamba,02/01/12,41.71
Chamba,03/01/12,44.395
Chamba,04/01/12,37.069
Chamba,05/01/12,33.833
Chamba,06/01/12,35.596
Chamba,07/01/12,51.991
Chamba,08/01/12,52.197
Chamba,09/01/12,31.592
Chamba,10/01/12,16.468
Chamba,11/01/12,18.677
Chamba,12/01/12,35.791
Chamba,01/01/13,43.347
Chamba,02/01/13,41.777
Chamba,03/01/13,43.871
Chamba,04/01/13,37.334
Chamba,05/01/13,33.197
Chamba,06/01/13,34.983
Chamba,07/01/13,51.733
Chamba,08/01/13,52.215
Chamba,09/01/13,31.264
Chamba,10/01/13,18.396
Chamba,11/01/13,20.041
Chamba,12/01/13,35.791
Chamba,01/01/14,41.205
Chamba,02/01/14,42.472
Chamba,03/01/14,44.393
Chamba,04/01/14,37.556
Chamba,05/01/14,33.34
Chamba,06/01/14,32.873
Chamba,07/01/14,51.957
Chamba,08/01/14,52.254
Chamba,09/01/14,30.331
Chamba,10/01/14,16.375
Chamba,11/01/14,20.622
Chamba,12/01/14,36.392
Chamba,01/01/15,41.765
Chamba,02/01/15,43.539
Chamba,03/01/15,43.59
Chamba,04/01/15,39.083
Chamba,05/01/15,31.97
Chamba,06/01/15,32.82
Chamba,07/01/15,52.675
Chamba,08/01/15,50.822
Chamba,09/01/15,31.107
Chamba,10/01/15,16.326
Chamba,11/01/15,18.56
Chamba,12/01/15,35.771
Chamba,01/01/16,43.471
Chamba,02/01/16,41.611
Chamba,03/01/16,45.28
Chamba,04/01/16,37.485
Chamba,05/01/16,33.187
Chamba,06/01/16,35.975
Chamba,07/01/16,52.721
Chamba,08/01/16,52.129
Chamba,09/01/16,31.607
Chamba,10/01/16,16.791
Chamba,11/01/16,18.004
Chamba,12/01/16,35.247
Chamba,01/01/17,41.2
Chamba,02/01/17,40.363
Chamba,03/01/17,44.207
Chamba,04/01/17,35.339
Chamba,05/01/17,32.263
Chamba,06/01/17,34.094
Chamba,07/01/17,51.555
Chamba,08/01/17,51.555
Chamba,09/01/17,30.625
Chamba,10/01/17,16.407
Chamba,11/01/17,18.694
Chamba,12/01/17,35.152
Chamba,01/01/18,41.895
Chamba,02/01/18,42.401
Chamba,03/01/18,44.887
Chamba,04/01/18,37.476
Chamba,05/01/18,31.148
Chamba,06/01/18,32.677
Chamba,07/01/18,51.713
Chamba,08/01/18,50.789
Chamba,09/01/18,29.232
Chamba,10/01/18,15.919
Chamba,11/01/18,19.818
Chamba,12/01/18,37.114
Chamba,01/01/19,41.691
Chamba,02/01/19,41.113
Chamba,03/01/19,44.613
Chamba,04/01/19,36.776
Chamba,05/01/19,33.276
Chamba,06/01/19,37.269
Chamba,07/01/19,52.952
Chamba,08/01/19,51.591
Chamba,09/01/19,30.719
Chamba,10/01/19,13.145
Chamba,11/01/19,14.064
Chamba,12/01/19,36.697
Chamba,01/01/20,43.529
Chamba,02/01/20,42.449
