Area,Month,Rainfall
Chamba,1901-1-1,0.886
Chamba,1901-2-1,8.761
Chamba,1901-3-1,31.698
Chamba,1901-4-1,36.787
Chamba,1901-5-1,31.518
Chamba,1901-6-1,108.659
Chamba,1901-7-1,261.023
Chamba,1901-8-1,156.586
Chamba,1901-9-1,88.515
Chamba,1901-10-1,9.234
Chamba,1901-11-1,10.86
Chamba,1901-12-1,0.394
Chamba,1902-1-1,38.824
Chamba,1902-2-1,22.624
Chamba,1902-3-1,22.811
Chamba,1902-4-1,6.055
Chamba,1902-5-1,12.66
Chamba,1902-6-1,43.233
Chamba,1902-7-1,457.597
Chamba,1902-8-1,155.245
Chamba,1902-9-1,50.447
Chamba,1902-10-1,12.429
Chamba,1902-11-1,0
Chamba,1902-12-1,5.689
Chamba,1903-1-1,47.349
Chamba,1903-2-1,6.255
Chamba,1903-3-1,55.389
Chamba,1903-4-1,13.167
Chamba,1903-5-1,38.699
Chamba,1903-6-1,81.943
Chamba,1903-7-1,206.169
Chamba,1903-8-1,147.507
Chamba,1903-9-1,82.908
Chamba,1903-10-1,12.67
Chamba,1903-11-1,24.232
Chamba,1903-12-1,10.119
Chamba,1904-1-1,92.291
Chamba,1904-2-1,41.609
Chamba,1904-3-1,14.713
Chamba,1904-4-1,11.596
Chamba,1904-5-1,9.377
Chamba,1904-6-1,49.032
Chamba,1904-7-1,116.974
Chamba,1904-8-1,202.11
Chamba,1904-9-1,159.73
Chamba,1904-10-1,3.568
Chamba,1904-11-1,0
Chamba,1904-12-1,28.057
Chamba,1905-1-1,17.086
Chamba,1905-2-1,104.155
Chamba,1905-3-1,23.596
Chamba,1905-4-1,17.935
Chamba,1905-5-1,85.804
Chamba,1905-6-1,65.262
Chamba,1905-7-1,89.408
Chamba,1905-8-1,300.876
Chamba,1905-9-1,177.227
Chamba,1905-10-1,1.252
Chamba,1905-11-1,0
Chamba,1905-12-1,4.555
Chamba,1906-1-1,27.489
Chamba,1906-2-1,61.764
Chamba,1906-3-1,55.95
Chamba,1906-4-1,44.28
Chamba,1906-5-1,7.835
Chamba,1906-6-1,164.704
Chamba,1906-7-1,110.501
Chamba,1906-8-1,284.817
Chamba,1906-9-1,17.701
Chamba,1906-10-1,3.221
Chamba,1906-11-1,0.165
Chamba,1906-12-1,0.2
Chamba,1907-1-1,45.276
Chamba,1907-2-1,23.075
Chamba,1907-3-1,2.048
Chamba,1907-4-1,30.694
Chamba,1907-5-1,62.499
Chamba,1907-6-1,80.128
Chamba,1907-7-1,132.909
Chamba,1907-8-1,364.333
Chamba,1907-9-1,377.508
Chamba,1907-10-1,0.691
Chamba,1907-11-1,0.564
Chamba,1907-12-1,6.536
Chamba,1908-1-1,41.136
Chamba,1908-2-1,14.255
Chamba,1908-3-1,9.875
Chamba,1908-4-1,54.061
Chamba,1908-5-1,9.635
Chamba,1908-6-1,125.269
Chamba,1908-7-1,345.696
Chamba,1908-8-1,226.546
Chamba,1908-9-1,284.878
Chamba,1908-10-1,0.944
Chamba,1908-11-1,10.156
Chamba,1908-12-1,54.834
Chamba,1909-1-1,54.467
Chamba,1909-2-1,18.185
Chamba,1909-3-1,14.085
Chamba,1909-4-1,56.705
Chamba,1909-5-1,22.657
Chamba,1909-6-1,132.567
Chamba,1909-7-1,235.178
Chamba,1909-8-1,254.592
Chamba,1909-9-1,85.24
Chamba,1909-10-1,4.156
Chamba,1909-11-1,1.143
Chamba,1909-12-1,13.68
Chamba,1910-1-1,79.46
Chamba,1910-2-1,11.743
Chamba,1910-3-1,86.253
Chamba,1910-4-1,13.629
Chamba,1910-5-1,7.19
Chamba,1910-6-1,58.54
Chamba,1910-7-1,189.792
Chamba,1910-8-1,190.488
Chamba,1910-9-1,194.763
Chamba,1910-10-1,5.996
Chamba,1910-11-1,36.095
Chamba,1910-12-1,6.502
Chamba,1911-1-1,66.74
Chamba,1911-2-1,25.61
Chamba,1911-3-1,18.297
Chamba,1911-4-1,29.972
Chamba,1911-5-1,40.411
Chamba,1911-6-1,45.648
Chamba,1911-7-1,123.68
Chamba,1911-8-1,156.574
Chamba,1911-9-1,58.167
Chamba,1911-10-1,0.767
Chamba,1911-11-1,20.836
Chamba,1911-12-1,24.986
Chamba,1912-1-1,48.279
Chamba,1912-2-1,60.047
Chamba,1912-3-1,57.147
Chamba,1912-4-1,41.949
Chamba,1912-5-1,52.092
Chamba,1912-6-1,93.184
Chamba,1912-7-1,149.259
Chamba,1912-8-1,239.331
Chamba,1912-9-1,60.346
Chamba,1912-10-1,2.599
Chamba,1912-11-1,5.642
Chamba,1912-12-1,26.477
Chamba,1913-1-1,39.163
Chamba,1913-2-1,51.626
Chamba,1913-3-1,38.148
Chamba,1913-4-1,25.886
Chamba,1913-5-1,21.962
Chamba,1913-6-1,63.128
Chamba,1913-7-1,239.81
Chamba,1913-8-1,203.771
Chamba,1913-9-1,252.31
Chamba,1913-10-1,23.694
Chamba,1913-11-1,18.472
Chamba,1913-12-1,17.308
Chamba,1914-1-1,10.698
Chamba,1914-2-1,92.346
Chamba,1914-3-1,33.527
Chamba,1914-4-1,12.943
Chamba,1914-5-1,19.11
Chamba,1914-6-1,77.082
Chamba,1914-7-1,64.45
Chamba,1914-8-1,351.479
Chamba,1914-9-1,97.656
Chamba,1914-10-1,38.692
Chamba,1914-11-1,0
Chamba,1914-12-1,6.01
Chamba,1915-1-1,8.382
Chamba,1915-2-1,15.47
Chamba,1915-3-1,5.763
Chamba,1915-4-1,17.069
Chamba,1915-5-1,20.294
Chamba,1915-6-1,108.976
Chamba,1915-7-1,342.68
Chamba,1915-8-1,203.358
Chamba,1915-9-1,121.906
Chamba,1915-10-1,11.006
Chamba,1915-11-1,0.276
Chamba,1915-12-1,0.32
Chamba,1916-1-1,12.17
Chamba,1916-2-1,16.335
Chamba,1916-3-1,23.648
Chamba,1916-4-1,37.189
Chamba,1916-5-1,33.92
Chamba,1916-6-1,178.791
Chamba,1916-7-1,169.574
Chamba,1916-8-1,477.537
